id,ad1,ad2,source_ad1,source_ad2,count.paraphrase,count.nonparaphrase,count.preference_ad1,count.preference_ad2,count.preference_skip
6915,自律神経の整体,自律神経を整える整体,camera_train_11430,human,1,4,0,0,0
6916,自律神経の整体,自律神経のバランスを整える整体,camera_train_11430,swallow8b,2,3,0,0,0
6917,目標の整合性を改善,目標の整合性向上,camera_train_11431,calm22b,3,2,5,4,1
6918,目標の整合性を改善,目標達成のための一貫性向上,camera_train_11431,calm7b,1,4,0,0,0
6919,目標の整合性を改善,改善　目標の整合生,camera_train_11431,human,2,3,0,0,0
6920,自由が丘で歯並び治療,【自由が丘】歯並び治療,camera_train_11432,human,5,0,0,6,4
6921,自由が丘で歯並び治療,自由が丘で歯並びを劇的に変える,camera_train_11432,swallow70b,2,3,0,0,0
6922,ファインレジデンス枚方香里園町,高級住宅街【枚方香里園町】,camera_train_11433,swallow70b,1,4,0,0,0
6923,Studio Face王子店,出すのできるスタジオ,camera_train_11434,human,0,5,0,0,0
6924,アーカイブセール始めました,アーカイブセール開催しています,camera_train_11437,human,5,0,7,2,1
6925,アーカイブセール始めました,アーカイブセール開始,camera_train_11437,swallow70b,5,0,4,2,4
6926,"月々2,000円～選べるAGA治療","月々2,000円～選べる【AGA治療】",camera_train_1143,swallow70b,5,0,0,7,3
6927,働けないときの保険,働けない時の安心サポート,camera_train_11440,calm22b,3,2,1,8,1
6928,働けないときの保険,【働けないときの保険】,camera_train_11440,human,5,0,1,7,2
6929,【公式】オートウェイ／AUTOWAY,公式オートウェイ／AUTOWAY,camera_train_11441,swallow70b,5,0,10,0,0
6930,【2022年最新版】,2022年最新版の「これ」は？,camera_train_11442,swallow70b,3,2,7,3,0
6931,いま使うべきサイトランキング,現時点での最適サイト一覧,camera_train_11444,calm22b,2,3,0,0,0
6932,いま使うべきサイトランキング,現在利用すべきサイトランキング,camera_train_11444,swallow70b,4,1,6,1,3
6933,シュウ ヘアー,シュウヘアでカッコよくキメよう,camera_train_11445,calm22b,1,4,0,0,0
6934,アゴダのベスト料金,アゴダで最安値予約,camera_train_11448,calm22b,2,3,0,0,0
6935,アゴダのベスト料金,アゴダのベスト料金です。,camera_train_11448,swallow70b,5,0,8,1,1
6936,アゴダのベスト料金,アゴダの料金はこちら,camera_train_11448,swallow8b,1,4,0,0,0
6937,町田市の不動産売却,【緊急】町田市の不動産売却中,camera_train_11452,calm22b,2,3,0,0,0
6938,【公式】みずほ銀行カードローン,公式のみずほ銀行カードローン,camera_train_11453,swallow70b,5,0,10,0,0
6939,公式サントリー桑の葉ブレンド茶,サントリー公式桑の葉ブレンド茶,camera_train_11454,swallow8b,5,0,5,3,2
6940,畔に サロン,湖畔の絶景を楽しむサロン,camera_train_11455,calm22b,0,5,0,0,0
6941,畔に サロン,おすすめサロン【アクセス抜群】,camera_train_11455,swallow8b,1,4,0,0,0
6942,リクルートの求人募集,【求人情報】リクルートキャリア,camera_train_11457,calm22b,2,3,0,0,0
6943,ダンボールワン【公式】,ダンボールワン【公式】です。,camera_train_11458,swallow70b,5,0,7,1,2
6944,【ライフネット生命】死亡保険,死亡保険ならライフネット生命,camera_train_11459,human,5,0,4,5,1
6945,K,KPI達成のための広告文作成,camera_train_11460,calm22b,0,5,0,0,0
6946,K,甲 最大91％OFF,camera_train_11460,calm7b,0,5,0,0,0
6947,K,ケイ,camera_train_11460,human,3,2,2,6,2
6948,K,K コーポレートのKPI値改善,camera_train_11460,swallow8b,0,5,0,0,0
6949,パノラ 立川,立川のパノラ,camera_train_11461,calm22b,4,1,3,3,4
6950,Rs485ケーブル,高品質ケーブル：Rs485,camera_train_11462,calm22b,3,2,1,9,0
6951,Rs485ケーブル,【RS485ケーブル】,camera_train_11462,human,5,0,3,3,4
6952,Rs485ケーブル,RS485ケーブル,camera_train_11462,swallow8b,4,1,2,4,4
6953,【最新版】医療脱毛おすすめTOP5,最新【医療脱毛】おすすめ5選,camera_train_11466,calm7b,4,1,8,2,0
6954,【中野でおすすめ】マツエク,マツエク@中野でおすすめ,camera_train_11467,human,5,0,0,0,10
6955,Laline,ラリンのスキンケア,camera_train_11468,calm22b,1,4,0,0,0
6956,Laline,ララインの商品を探す,camera_train_11468,swallow8b,0,5,0,0,0
6957,【早稲田】メンズ美容院,早稲田のメンズ美容院,camera_train_1146,calm22b,4,1,8,0,2
6958,【早稲田】メンズ美容院,早稲田のメンズ美容院,camera_train_1146,swallow70b,5,0,4,4,2
6959,【早稲田】メンズ美容院,早稲田でおすすめのメンズ美容院,camera_train_1146,swallow8b,3,2,7,3,0
6960,自動車保険どこが1番安くなる？,最も安価な自動車保険を探求する,camera_train_11470,calm22b,5,0,8,2,0
6961,自動車保険どこが1番安くなる？,自動車保険の最安値はどこ？,camera_train_11470,swallow8b,5,0,2,8,0
6962,【急募】AWSエンジニア,【すぐほしい】AWSエンジニア,camera_train_11471,calm22b,5,0,7,2,1
6963,【急募】AWSエンジニア,【急募】AWSエンジニア募集中,camera_train_11471,swallow70b,5,0,6,1,3
6964,【急募】AWSエンジニア,急募のAWSエンジニア,camera_train_11471,swallow8b,5,0,9,0,1
6965,工事なしで使える人気のWiFi,工事不要のWiFi人気プラン,camera_train_11474,calm7b,5,0,3,5,2
6966,auじぶん銀行のカードローン,じぶんの銀行カードローン,camera_train_11476,calm7b,0,5,0,0,0
6967,auじぶん銀行のカードローン,【カードローン】auじぶん銀行,camera_train_11476,human,5,0,5,5,0
6968,看護師でヤバイ単発バイトとは？,驚愕の看護師単発バイトとは？,camera_train_11480,calm22b,1,4,0,0,0
6969,看護師でヤバイ単発バイトとは？,看護師ですごい単発バイトとは？,camera_train_11480,human,3,2,0,7,3
6970,科学根拠で選ぶ睡眠サプリTOP15,科学的根拠で選ぶ睡眠サプリ15選,camera_train_11486,swallow70b,5,0,4,4,2
6971,滋賀で安くて評判の税理士,滋賀で評判の安い税理士,camera_train_11487,calm22b,4,1,7,2,1
6972,滋賀で安くて評判の税理士,【滋賀】安い評判の税理士,camera_train_11487,swallow70b,5,0,2,6,2
6973,【今すぐ】お金を借りるなら,今すぐ「お金を借りる」なら,camera_train_11489,calm22b,5,0,3,3,4
6974,【今すぐ】お金を借りるなら,お金を今すぐ借りるなら,camera_train_11489,swallow8b,5,0,4,4,2
6975,国際短期大学（東京都）,東京都の国際短期大学で学ぶ,camera_train_11490,swallow8b,0,5,0,0,0
6976,【公式】DIESEL（ディーゼル）,【公式】ディーゼルの最新情報,camera_train_11491,calm22b,1,4,0,0,0
6977,【公式】DIESEL（ディーゼル）,【公式】ディーゼルです。,camera_train_11491,swallow70b,5,0,8,1,1
6978,【公式】DIESEL（ディーゼル）,ディーゼル【公式】,camera_train_11491,swallow8b,5,0,8,2,0
6979,おしゃれなベッドサイドテーブル,おしゃれベッドサイドテーブル,camera_train_11493,human,4,1,4,0,6
6980,ジルチ ヘアワークス,おすすめ美容室@横浜,camera_train_11494,calm7b,0,5,0,0,0
6981,身体に優しい大人のゆるり旅,大人のための癒し旅,camera_train_11497,calm7b,3,2,2,7,1
6982,身体に優しい大人のゆるり旅,本当の大人の旅,camera_train_11497,human,0,5,0,0,0
6983,ヘアーラヴワン 館林,館林のヘアーラヴワン,camera_train_11499,calm22b,5,0,6,4,0
6984,ヘアーラヴワン 館林,ヘアーラヴワン 館林 ￥0,camera_train_11499,swallow8b,1,4,0,0,0
6985,伊勢崎 ホテル 予約,伊勢崎でホテルを予約,camera_train_1149,calm22b,5,0,4,3,3
6986,伊勢崎 ホテル 予約,伊勢佐木のホテル予約方法はこう,camera_train_1149,human,2,3,0,0,0
6987,お客様第一主義,お客様第一主義を約束します,camera_train_114,calm22b,3,2,4,5,1
6988,ライフネット生命,ライフネット生命保険で安心を,camera_train_11500,swallow8b,3,2,2,5,3
6989,駅近・開放感をフェアで体験,駅近・開放感をフェアで体感,camera_train_11505,calm22b,4,1,0,0,10
6990,駅近・開放感をフェアで体験,駅近で開放感をフェアで体験,camera_train_11505,swallow70b,5,0,3,3,4
6991,駅近・開放感をフェアで体験,駅近の開放感を体験できるフェア,camera_train_11505,swallow8b,5,0,8,2,0
6992,【神戸三宮三ノ宮】マッサージ店,神戸三宮の高級マッサージ店,camera_train_11506,swallow8b,2,3,0,0,0
6993,大手6社一括査定サイト【公式】,【公式】大手6社一括査定サイト,camera_train_11507,calm22b,5,0,1,8,1
6994,大手6社一括査定サイト【公式】,大手6社一括査定【公式】,camera_train_11507,swallow70b,5,0,6,2,2
6995,【網走】の温泉宿 じゃらん,網走で泊まるなら？じゃらん,camera_train_11508,calm7b,3,2,4,5,1
6996,【公式】HOTEL TIAD（ティアド）,公式HOTEL TIAD（ティアド）,camera_train_1150,calm22b,4,1,7,1,2
6997,北大の格安ホテル,とても安い北大のホテル,camera_train_11512,human,2,3,0,0,0
6998,北大の格安ホテル,あなたのための北大の格安ホテル,camera_train_11512,swallow70b,4,1,5,3,2
6999,介護の派遣会社最新ランキング,介護の派遣会社上位ランキング,camera_train_11513,human,3,2,4,4,2
7000,利尻ヘアカラートリートメント,利尻ヘアカラーで美髪へ,camera_train_11514,calm7b,0,5,0,0,0
7001,利尻ヘアカラートリートメント,リシリヘアカラートリートメント,camera_train_11514,swallow70b,4,1,9,0,1
7002,利尻ヘアカラートリートメント,リシリヘアカラートリートメント,camera_train_11514,swallow8b,4,1,7,1,2
7003,王妃になる予定でしたが,元王族継承権保持者,camera_train_11515,calm22b,0,5,0,0,0
7004,王妃になる予定でしたが,王妃になるはずでしたが,camera_train_11515,swallow70b,4,1,2,4,4
7005,王妃になる予定でしたが,「王妃」になる予定だったが,camera_train_11515,swallow8b,5,0,3,4,3
7006,アイフルホーム,【アイフルホーム】,camera_train_11517,swallow70b,5,0,1,4,5
7007,海の見える六浦霊園,海の見える六浦霊園、安心の静寂,camera_train_11519,calm22b,2,3,0,0,0
7008,海の見える六浦霊園,海が見える六浦霊園です。,camera_train_11519,swallow70b,5,0,5,2,3
7009,海の見える六浦霊園,六浦で安心の海の見える霊園,camera_train_11519,swallow8b,3,2,4,5,1
7010,プロのお掃除屋さんはどこがいい,おすすめのプロクリーニング会社,camera_train_11520,calm22b,5,0,6,4,0
7011,プロのお掃除屋さんはどこがいい,信頼のプロのお掃除屋さん,camera_train_11520,calm7b,2,3,0,0,0
7012,プロのお掃除屋さんはどこがいい,おすすめのお掃除屋さん,camera_train_11520,swallow70b,4,1,3,5,2
7013,プロのお掃除屋さんはどこがいい,お掃除屋さんを探している？,camera_train_11520,swallow8b,4,1,9,1,0
7014,平安 神宮 会館,平安神宮での特別な時間を,camera_train_11523,calm22b,0,5,0,0,0
7015,平安 神宮 会館,平安神宮の安心な会館,camera_train_11523,swallow8b,2,3,0,0,0
7016,願いを3ページだけ叶えてやろう,「3ページだけ叶える願い」,camera_train_11524,calm22b,4,1,3,3,4
7017,願いを3ページだけ叶えてやろう,3ページだけ願いを叶えてみよう,camera_train_11524,swallow70b,3,2,3,2,5
7018,願いを3ページだけ叶えてやろう,3つの願いを叶えてみよう,camera_train_11524,swallow8b,1,4,0,0,0
7019,【明日届く】カラコンサイト,翌日につくカラコンサイト,camera_train_11525,human,5,0,8,2,0
7020,【明日届く】カラコンサイト,【明日届かない】カラコンサイト,camera_train_11525,swallow8b,0,5,0,0,0
7021,こんな優良の求人があったんだ,優良求人を今すぐチェック,camera_train_11529,calm22b,3,2,1,8,1
7022,Z Flip3後継機種 Galaxy Z Flip4,待望のGalaxy Z Flip4登場,camera_train_1152,calm22b,2,3,0,0,0
7023,Z Flip3後継機種 Galaxy Z Flip4,Galaxy Z Flip4Z Flip3後継機種,camera_train_1152,human,5,0,2,6,2
7024,結局どこの保育園がいいの？,おすすめの保育園は？,camera_train_11530,calm22b,5,0,1,9,0
7025,結局どこの保育園がいいの？,どこの保育園がいいの？,camera_train_11530,swallow8b,4,1,5,3,2
7026,ホテル 予約,ホテル予約,camera_train_11532,calm22b,5,0,0,0,10
7027,ホテル 予約,ホテル予約（予約）,camera_train_11532,calm7b,5,0,5,2,3
7028,ホテル 予約,予約するホテル,camera_train_11532,swallow70b,3,2,8,0,2
7029,ホテル 予約,ホテル予約はこちら,camera_train_11532,swallow8b,2,3,0,0,0
7030,阿智村の星空ツアー,阿智村の星空ツアーに出かけよう,camera_train_11533,calm22b,3,2,4,6,0
7031,阿智村の星空ツアー,阿智村で星空を眺めるツアー,camera_train_11533,swallow70b,5,0,0,9,1
7032,阿智村の星空ツアー,阿智村の星空ツアーを楽しむ,camera_train_11533,swallow8b,2,3,0,0,0
7033,【通販生活限定】ほおずり,通販生活限定のほおずりです。,camera_train_11534,swallow70b,5,0,7,1,2
7034,【通販生活限定】ほおずり,通販限定おすすめ商品,camera_train_11534,swallow8b,0,5,0,0,0
7035,伊豆温泉の人気宿を検索,伊豆温泉で人気の旅館を探す,camera_train_11536,calm22b,5,0,3,5,2
7036,伊豆温泉の人気宿を検索,伊豆温泉の人気宿を探そう,camera_train_11536,swallow8b,5,0,3,7,0
7037,保険料シミュレーションはこちら,保険料は【こちら】,camera_train_11537,calm7b,1,4,0,0,0
7038,保険料シミュレーションはこちら,【簡単】保険料シミュレーション,camera_train_11537,human,3,2,3,6,1
7039,伊豆の宿予約,おすすめ伊豆の宿予約,camera_train_11538,calm7b,3,2,2,7,1
7040,伊豆の宿予約,伊豆の宿を予約しませんか？,camera_train_11538,swallow8b,4,1,6,2,2
7041,石廊崎の格安ホテル,石廊崎で「格安」ホテルに泊まる,camera_train_11542,swallow70b,4,1,5,4,1
7042,フーゴ 原宿,原宿のフーゴは避けた方がいい？,camera_train_11543,swallow8b,1,4,0,0,0
7043,クレジットカードおすすめ10枚,おすすめクレジットカード10枚,camera_train_11544,swallow70b,5,0,1,5,4
7044,男性専門美容フェイシャルエステ,美肌男のフェイシャル,camera_train_11545,human,4,1,8,2,0
7045,【京王八王子でおすすめ】ネイル,ネイル八王子おすすめ,camera_train_11546,human,1,4,0,0,0
7046,【公式】Galaxy Harajuku,公式Galaxy Harajukuです。,camera_train_1154,swallow70b,5,0,9,1,0
7047,【公式】Galaxy Harajuku,公式Galaxy Harajuku店,camera_train_1154,swallow8b,4,1,8,1,1
7048,【公式】LOWYA（ロウヤ）,公式：LOWYA（ロウヤ）,camera_train_11551,calm7b,5,0,8,1,1
7049,リクルートの求人募集,【急募】リクルートの求人募集,camera_train_11552,calm22b,3,2,1,8,1
7050,妊婦さんと赤ちゃんのための保険,おすすめの保険はこちらです。,camera_train_11554,swallow70b,0,5,0,0,0
7051,2024年USCPAは新試験制度へ移行,2024年USCPA新試験制度,camera_train_11555,human,3,2,7,1,2
7052,2024年USCPAは新試験制度へ移行,2024年USCPA新試験制度へ移行,camera_train_11555,swallow8b,5,0,2,4,4
7053,《タブレット学習を徹底比較》,【比較】タブレット学習のNG選択,camera_train_11556,calm22b,1,4,0,0,0
7054,【公式】スカパー加入ページ,スカパー公式加入ページ,camera_train_11557,calm22b,4,1,7,2,1
7055,【公式】スカパー加入ページ,スカパー公式加入ページ,camera_train_11557,swallow8b,4,1,8,1,1
7056,【漫画読み放題】7日間完全無料,7日間完全無料【漫画読み放題】,camera_train_11559,swallow70b,5,0,5,4,1
7057,【毎日更新】本日の金レート,毎日更新【今日の金レート】,camera_train_11560,swallow8b,5,0,7,1,2
7058,【12/3新着】保育士の求人なら,保育士求人【12/3新着】,camera_train_11561,calm7b,5,0,6,2,2
7059,【12/3新着】保育士の求人なら,【12/3新着】保育士の求人情報,camera_train_11561,swallow70b,5,0,1,7,2
7060,バイトするなら派遣で就職しよう,バイトなら派遣で就職しよう。,camera_train_11562,calm7b,5,0,9,0,1
7061,香水 通販,香水【通販】最大80%オフ,camera_train_11564,calm22b,1,4,0,0,0
7062,香水 通販,"1,000円～香水通販",camera_train_11564,swallow8b,1,4,0,0,0
7063,事業用ローンでお悩みの企業様,事業資金にお困りの方必見,camera_train_11565,calm22b,1,4,0,0,0
7064,事業用ローンでお悩みの企業様,事業用ローンでお困りの企業様,camera_train_11565,swallow8b,4,1,2,1,7
7065,関西みらいの有担保型ローン,【担保有ローン】@関西みらい,camera_train_11566,human,5,0,7,1,2
7066,関西みらいの有担保型ローン,有担保型ローン／関西みらい,camera_train_11566,swallow70b,3,2,1,8,1
7067,関西みらいの有担保型ローン,関西みらい銀行の有担保型ローン,camera_train_11566,swallow8b,5,0,0,8,2
7068,千葉銀行カードローン,千葉銀行のカードローン,camera_train_11568,calm22b,5,0,2,2,6
7069,千葉銀行カードローン,カードローン千葉銀行,camera_train_11568,human,5,0,9,0,1
7070,千葉銀行カードローン,千葉銀行のカードローン,camera_train_11568,swallow70b,5,0,1,1,8
7071,サックスの超高価買取なら,サックスの高価買取なら,camera_train_11569,calm22b,4,1,5,3,2
7072,サックスの超高価買取なら,高価買取ならサックスです,camera_train_11569,swallow70b,3,2,6,3,1
7073,サックスの超高価買取なら,サックスの高価買取ならこちら,camera_train_11569,swallow8b,4,1,2,6,2
7074,最新ローンランキング2022年12月,2022年12月最新ローンランキング,camera_train_1156,calm22b,5,0,2,4,4
7075,新倉敷駅の格安ホテル,新倉敷駅直結の格安ホテル,camera_train_11570,calm22b,2,3,0,0,0
7076,新倉敷駅の格安ホテル,格安ホテルの新倉敷駅,camera_train_11570,human,3,2,6,1,3
7077,新倉敷駅の格安ホテル,新倉敷駅周辺の格安ホテル,camera_train_11570,swallow70b,2,3,0,0,0
7078,新倉敷駅の格安ホテル,新倉敷駅周辺の格安ホテルを探す,camera_train_11570,swallow8b,4,1,3,6,1
7079,火災 保険 口コミ ランキング,火災 保険 人気ランキング,camera_train_11575,human,3,2,4,4,2
7080,HAL東京,安心して学べるHAL東京,camera_train_11577,calm22b,1,4,0,0,0
7081,HAL東京,東京のHAL,camera_train_11577,human,4,1,5,1,4
7082,HAL東京,【安心の】HAL東京,camera_train_11577,swallow70b,3,2,3,6,1
7083,【2022冬】札幌 塾 中学生,中学生向け塾【2022冬】札幌,camera_train_11578,calm22b,4,1,7,3,0
7084,【2022冬】札幌 塾 中学生,札幌市の中学生向け塾,camera_train_11578,calm7b,2,3,0,0,0
7085,【2022冬】札幌 塾 中学生,【2022冬】札幌の中学生向け塾,camera_train_11578,swallow70b,5,0,3,7,0
7086,浮気調査、証拠撮れなければ0円,証拠がなければ“0円”浮気調査,camera_train_11579,calm7b,4,1,5,4,1
7087,浮気調査、証拠撮れなければ0円,証拠なければ料金不要浮気調査,camera_train_11579,human,5,0,10,0,0
7088,SSDが読み込めない？,SSDが読み込まない？,camera_train_1157,calm22b,4,1,3,0,7
7089,SSDが読み込めない？,読み込めない？SSDが,camera_train_1157,human,4,1,9,0,1
7090,【久喜】シェービングサロン予約,シェービングサロン予約【久喜】,camera_train_11580,calm7b,5,0,3,4,3
7091,【久喜】シェービングサロン予約,【予約】久喜シェービングサロン,camera_train_11580,swallow70b,5,0,3,5,2
7092,比較ランキング【TOP10】,ランキングTOP10【徹底比較】,camera_train_11581,calm22b,3,2,1,8,1
7093,比較ランキング【TOP10】,比較順位ベストテン,camera_train_11581,human,5,0,7,0,3
7094,比較ランキング【TOP10】,トップ１０比較ランキングです。,camera_train_11581,swallow70b,5,0,8,0,2
7095,車査定 32秒でわかる最高額,32秒でわかる車査定の最高額,camera_train_11584,calm22b,5,0,5,4,1
7096,車査定 32秒でわかる最高額,32秒でわかる最高額の車査定,camera_train_11584,human,5,0,4,4,2
7097,車査定 32秒でわかる最高額,32秒で車の最高額がわかる査定,camera_train_11584,swallow70b,4,1,7,3,0
7098,車査定 32秒でわかる最高額,32秒でわかる車査定の最高額は？,camera_train_11584,swallow8b,5,0,4,5,1
7099,オーディオを最高額で売りたい方,最高額でオーディオを売るなら,camera_train_11585,calm22b,5,0,2,6,2
7100,スウィート 小山店,スウィート小山店,camera_train_11586,calm22b,5,0,2,1,7
7101,スウィート 小山店,小山店のスウィート,camera_train_11586,swallow8b,5,0,6,2,2
7102,リクシル 内 窓の工事館,リクシル内窓工事の専門館,camera_train_11587,calm22b,3,2,0,9,1
7103,リクシル 内 窓の工事館,「リクシルの内窓工事センター」,camera_train_11587,human,2,3,0,0,0
7104,リクシル 内 窓の工事館,リクシル内窓の工事館です。,camera_train_11587,swallow70b,4,1,4,5,1
7105,リクシル 内 窓の工事館,リクシルの内窓工事はこちら,camera_train_11587,swallow8b,4,1,0,10,0
7106,西葛西で技術力で話題の整体技術,西葛西で技術力が話題の整体技術,camera_train_11589,calm22b,5,0,1,1,8
7107,西葛西で技術力で話題の整体技術,【話題の整体技術】西葛西,camera_train_11589,human,1,4,0,0,0
7108,西葛西で技術力で話題の整体技術,西葛西で評判の整体技術,camera_train_11589,swallow70b,4,1,6,4,0
7109,パティア,パティアとは。考えてみよう,camera_train_1158,human,2,3,0,0,0
7110,パティア,私はパティアです。,camera_train_1158,swallow70b,2,3,0,0,0
7111,パティア,私がおすすめのパティアです。,camera_train_1158,swallow8b,1,4,0,0,0
7112,【公式】カラリア／香水サブスク,【公式】カラリア／香水定期購入,camera_train_11590,swallow70b,3,2,4,5,1
7113,製造業に強い税理士,製造業特化型税理士,camera_train_11592,human,4,1,2,5,3
7114,製造業に強い税理士,製造業に強い税理士に相談する,camera_train_11592,swallow70b,4,1,4,5,1
7115,【新着】相模原市 夜勤 求人,夜勤求人【新着】相模原市,camera_train_11593,calm22b,5,0,5,4,1
7116,【新着】相模原市 夜勤 求人,夜勤求人情報【新着】相模原市,camera_train_11593,swallow70b,3,2,6,1,3
7117,【新着】相模原市 夜勤 求人,夜勤 求人【相模原市】新着情報,camera_train_11593,swallow8b,3,2,6,2,2
7118,【公式】846YAJIRO,公式846YAJIRO,camera_train_11596,human,5,0,8,0,2
7119,【公式】846YAJIRO,【公式】８４６ＹＡＪＩＲＯ,camera_train_11596,swallow70b,5,0,2,3,5
7120,ゴミ屋敷の清掃はブルークリーン,ブルークリーン/ゴミ屋敷清掃,camera_train_11597,swallow70b,5,0,4,5,1
7121,那覇市の格安ホテル,那覇市でお得に泊まれるホテル,camera_train_11598,calm22b,4,1,5,3,2
7122,【三国ヶ丘の脱毛サロン】,三国ヶ丘の脱毛サロンです。,camera_train_11599,swallow70b,5,0,7,1,2
7123,【三国ヶ丘の脱毛サロン】,三国ヶ丘の脱毛サロンです。,camera_train_11599,swallow8b,4,1,5,3,2
7124,【すまいーだ】新築一戸建て探し,新築戸建てを探すならすまいーだ,camera_train_1159,human,4,1,6,4,0
7125,バランス 高円寺,バランスの良い高円寺のサロン,camera_train_115,calm22b,0,5,0,0,0
7126,バランス 高円寺,高円寺の【均衡】,camera_train_115,human,5,0,3,5,2
7127,バランス 高円寺,高円寺のバランス,camera_train_115,swallow70b,3,2,5,4,1
7128,バランス 高円寺,高円寺で安心のバランス治療,camera_train_115,swallow8b,2,3,0,0,0
7129,JR立花駅よりすぐ／爽美館,JR立花駅からすぐの爽美館です。,camera_train_11600,calm22b,5,0,7,3,0
7130,JR立花駅よりすぐ／爽美館,【爽美館】JR立花駅よりすぐ,camera_train_11600,human,5,0,2,8,0
7131,JR立花駅よりすぐ／爽美館,爽美館はJR立花駅からすぐです。,camera_train_11600,swallow8b,5,0,5,3,2
7132,町田で縮毛矯正するなら,町田でおすすめの縮毛矯正サロン,camera_train_11601,swallow8b,3,2,1,7,2
7133,【ホットペッパービューティー】,美容のネット予約サイト,camera_train_11603,human,2,3,0,0,0
7134,固定番号を即日取得,即日取得できる固定電話,camera_train_11604,human,2,3,0,0,0
7135,固定番号を即日取得,即日取得可能な固定番号,camera_train_11604,swallow70b,3,2,6,3,1
7136,固定番号を即日取得,固定番号を即日で取得する方法,camera_train_11604,swallow8b,3,2,1,8,1
7137,バイセル 店舗 一覧,【バイセル】店舗一覧はこちら,camera_train_11605,human,5,0,1,9,0
7138,バイセル 店舗 一覧,「安心の店舗一覧」バイセル,camera_train_11605,swallow8b,1,4,0,0,0
7139,日本最大級のソファ通販専門店,最大級のソファ通販【日本】,camera_train_11607,calm7b,4,1,8,1,1
7140,日本最大級のソファ通販専門店,日本最大級のソファ専門店です。,camera_train_11607,swallow70b,0,5,0,0,0
7141,幼稚園教諭・保育士を積極募集,幼稚園・保育園で働こう,camera_train_11609,calm7b,1,4,0,0,0
7142,会計士おすすめ転職サイトTOP3,会計士おすすめ転職サイト3選,camera_train_11613,human,4,1,3,4,3
7143,ハスカラー 吉塚店,目ヂカラUPで印象UP,camera_train_11614,calm7b,0,5,0,0,0
7144,【羽村市】庭木の剪定,羽村市の庭木剪定サービス,camera_train_11615,calm22b,5,0,4,3,3
7145,【羽村市】庭木の剪定,庭木剪定　羽村市,camera_train_11615,human,5,0,10,0,0
7146,【羽村市】庭木の剪定,羽村市で庭木の剪定はこちら,camera_train_11615,swallow8b,5,0,4,4,2
7147,【公式】サントリーロコモア,【サントリー公式】ロコモア,camera_train_11616,human,4,1,6,2,2
7148,バイク保険比較/価格com,バイク保険選びは価格.comで。,camera_train_11618,calm22b,5,0,3,4,3
7149,バイク保険比較/価格com,バイクの保険比較価格comだよ,camera_train_11618,human,4,1,9,1,0
7150,バイク保険比較/価格com,バイク保険を比較するなら,camera_train_11618,swallow70b,3,2,7,2,1
7151,学校の資料請求,今すぐ【学校の資料請求】,camera_train_11622,calm22b,4,1,3,6,1
7152,学校の資料請求,資料請求　学校,camera_train_11622,human,5,0,5,1,4
7153,学校の資料請求,学校の資料請求ならこちらです。,camera_train_11622,swallow70b,4,1,4,4,2
7154,【池尻でおすすめ】ネイル,おすすめネイルサロン＠池尻,camera_train_11623,calm22b,5,0,3,6,1
7155,【池尻でおすすめ】ネイル,池尻でおすすめのネイルサロン,camera_train_11623,swallow70b,5,0,5,4,1
7156,【池尻でおすすめ】ネイル,池尻で人気のネイルサロン,camera_train_11623,swallow8b,2,3,0,0,0
7157,クロバイカレント,カレント　クロバイ,camera_train_11624,human,5,0,1,4,5
7158,クロバイカレント,クロバイカレントです。,camera_train_11624,swallow70b,5,0,4,4,2
7159,【公式】ルンバ・ブラーバ,ルンバ・ブラーバ　【公式】,camera_train_11625,human,5,0,7,0,3
7160,【公式】ルンバ・ブラーバ,【公式】ルンバ・ブラーバです。,camera_train_11625,swallow70b,5,0,7,0,3
7161,【公式】ルンバ・ブラーバ,公式のルンバ・ブラーバ,camera_train_11625,swallow8b,5,0,9,0,1
7162,悪役令嬢転生おじさん,悪役に転生したおじさん,camera_train_11626,calm22b,0,5,0,0,0
7163,悪役令嬢転生おじさん,おじさんが悪役令嬢に転生,camera_train_11626,human,4,1,6,4,0
7164,悪役令嬢転生おじさん,悪役令嬢転生したおじさん,camera_train_11626,swallow8b,3,2,7,3,0
7165,【千歳】まゆげサロン,まゆげサロン＠千歳,camera_train_11628,calm7b,5,0,6,3,1
7166,【千歳】まゆげサロン,千歳のまゆげサロンならここ,camera_train_11628,human,3,2,4,4,2
7167,ネジサイズ表,ネジサイズ一覧表,camera_train_11629,calm22b,5,0,0,9,1
7168,ネジサイズ表,ネジサイズ表を確認しましょう,camera_train_11629,swallow8b,3,2,5,5,0
7169,【至急】お金が必要ならこの4社,至急で資金が必要ならこの４社,camera_train_1162,swallow70b,5,0,8,2,0
7170,鍼灸師求人／全国展開を目指して,全国展開を目指す鍼灸師求人,camera_train_11631,calm22b,5,0,6,4,0
7171,鍼灸師求人／全国展開を目指して,鍼灸師【求人】全国展開を目指す,camera_train_11631,calm7b,5,0,3,5,2
7172,ツーエイチ 新宿,新宿のツーエイチ,camera_train_11633,calm22b,5,0,3,5,2
7173,「癒しの竪琴」ライアー教室,「心癒される」ライアー教室,camera_train_11636,swallow8b,1,4,0,0,0
7174,着物の買い取りなら,着物買い取ります,camera_train_11637,human,4,1,6,2,2
7175,【公式】潤静（うるしず）,潤静【公式】,camera_train_11638,calm22b,5,0,10,0,0
