id,input_ad,generated_ad1,generated_ad2,count.preference_ad1,count.preference_ad2,count.preference_skip,source_input_ad,model_ad1,model_ad2,split
1588,‪【北海道】の仕事探しはdoda‬,北海道の仕事探しはdoda,‪dodaで【北海道】の仕事探しを‬,3,5,2,camera_test_100025,calm7b,calm22b,train
1589,‪【北海道】の仕事探しはdoda‬,doda北海道の仕事探し,‪dodaで【北海道】の仕事探しを‬,2,5,3,camera_test_100025,human,calm22b,train
1590,‪【北海道】の仕事探しはdoda‬,doda北海道の仕事探し,北海道の仕事探しはdoda,3,6,1,camera_test_100025,human,calm7b,train
1591,即戦力人材を直接スカウト,即戦力人材を、直接スカウト。,即戦力を直接スカウト,5,3,2,camera_test_100036,calm7b,calm22b,train
1592,即戦力人材を直接スカウト,即戦力募集　直接スカウト,即戦力を直接スカウト,6,2,2,camera_test_100036,human,calm22b,train
1593,即戦力人材を直接スカウト,即戦力募集　直接スカウト,即戦力人材を、直接スカウト。,6,3,1,camera_test_100036,human,calm7b,train
1594,即戦力人材を直接スカウト,即戦力人材をスカウトします,即戦力を直接スカウト,4,3,3,camera_test_100036,swallow8b,calm22b,train
1595,即戦力人材を直接スカウト,即戦力人材をスカウトします,即戦力人材を、直接スカウト。,2,5,3,camera_test_100036,swallow8b,calm7b,train
1596,即戦力人材を直接スカウト,即戦力人材をスカウトします,即戦力募集　直接スカウト,4,4,2,camera_test_100036,swallow8b,human,train
1597,【法人向け】無料で人材募集,【法人向け】無償の人材募集,【法人向け】無費用人材募集,2,0,8,camera_test_100037,swallow70b,calm22b,train
1598,【企業向け】エン転職/公式,公式の【企業向け】エン転職,企業向け：公式エン転職,4,3,3,camera_test_100038,swallow8b,calm22b,train
1599,【法人向け】即戦力採用なら,即戦力採用【法人向け】,【法人向け】即戦力採用,1,7,2,camera_test_100042,swallow70b,calm22b,train
1600,【法人向け】即戦力採用なら,法人向け【即戦力採用】,【法人向け】即戦力採用,4,5,1,camera_test_100042,swallow8b,calm22b,train
1601,【法人向け】即戦力採用なら,法人向け【即戦力採用】,即戦力採用【法人向け】,1,8,1,camera_test_100042,swallow8b,swallow70b,train
1602,【2022年版】使うべき厳選5社,2022年版使うべき厳選5社,【2022年版】厳選5社をチェック,0,10,0,camera_test_100045,human,calm22b,train
1603,【2022年版】使うべき厳選5社,2022年版【厳選5社】おすすめ,【2022年版】厳選5社をチェック,4,6,0,camera_test_100045,swallow8b,calm22b,train
1604,【2022年版】使うべき厳選5社,2022年版【厳選5社】おすすめ,2022年版使うべき厳選5社,7,2,1,camera_test_100045,swallow8b,human,train
1605,パソナキャリア【公式】,公式パソナキャリア,【公式】パソナキャリア,1,8,1,camera_test_100049,swallow70b,calm22b,train
1606,（企業向け）リクルート公式,企業向け【リクルート公式】,「企業向け」リクルート公式,7,3,0,camera_test_100051,swallow70b,calm22b,train
1607,（企業向け）リクルート公式,（企業向け）公式リクルート,「企業向け」リクルート公式,1,7,2,camera_test_100051,swallow8b,calm22b,train
1608,（企業向け）リクルート公式,（企業向け）公式リクルート,企業向け【リクルート公式】,0,9,1,camera_test_100051,swallow8b,swallow70b,train
1609,【採用担当者向け】ミイダス,採用担当者向けミイダス,ミイダス採用担当者向け,5,3,2,camera_test_100052,human,calm22b,train
1610,【採用担当者向け】ミイダス,採用担当者向けのミイダスです。,ミイダス採用担当者向け,3,4,3,camera_test_100052,swallow70b,calm22b,train
1611,【採用担当者向け】ミイダス,採用担当者向けのミイダスです。,採用担当者向けミイダス,4,5,1,camera_test_100052,swallow70b,human,train
1612,【採用担当者向け】ミイダス,採用担当者向けのミイダス,ミイダス採用担当者向け,4,3,3,camera_test_100052,swallow8b,calm22b,train
1613,【採用担当者向け】ミイダス,採用担当者向けのミイダス,採用担当者向けミイダス,4,1,5,camera_test_100052,swallow8b,human,train
1614,【採用担当者向け】ミイダス,採用担当者向けのミイダス,採用担当者向けのミイダスです。,6,2,2,camera_test_100052,swallow8b,swallow70b,train
1615,メーカー転職ならタイズ,【転職】メーカーならタイズ,【メーカー転職】ならタイズ,3,6,1,camera_test_100054,swallow8b,calm22b,train
1616,メーカー転職ならタイズ,【転職】メーカーならタイズ,【メーカー転職】ならタイズ,3,5,2,camera_test_100054,swallow8b,swallow70b,train
1617,株式会社キャスター,キャスター株式会社,カブシキガイシャ キャスター,6,0,4,camera_test_100062,swallow8b,swallow70b,train
1618,いまならメーカー特典70万円,【今だけ】メーカー特典70万円,メーカー特典いまなら70万円,9,1,0,camera_test_100070,swallow70b,human,train
1619,いまならメーカー特典70万円,いましかないメーカー特典70万円,メーカー特典いまなら70万円,2,8,0,camera_test_100070,swallow8b,human,train
1620,いまならメーカー特典70万円,いましかないメーカー特典70万円,【今だけ】メーカー特典70万円,0,9,1,camera_test_100070,swallow8b,swallow70b,train
1621,無期雇用で就業できます,無期限の雇用契約で働けます,無期雇用で安心して働ける,4,6,0,camera_test_100071,human,calm22b,train
1622,【公式】工場派遣の東洋ワーク,【公式】東洋ワークの工場派遣,東洋ワーク【公式】工場派遣,10,0,0,camera_test_100073,swallow70b,calm22b,train
1623,【公式】工場派遣の東洋ワーク,工場派遣の【公式】東洋ワーク,東洋ワーク【公式】工場派遣,4,3,3,camera_test_100073,swallow8b,calm22b,train
1624,【公式】工場派遣の東洋ワーク,工場派遣の【公式】東洋ワーク,【公式】東洋ワークの工場派遣,2,5,3,camera_test_100073,swallow8b,swallow70b,train
1625,直接雇用,直接雇用で働く,【直接雇用】,4,5,1,camera_test_100076,swallow70b,calm22b,train
1626,直接雇用,直接雇用の案件を探す,【直接雇用】,8,1,1,camera_test_100076,swallow8b,calm22b,train
1627,直接雇用,直接雇用の案件を探す,直接雇用で働く,5,4,1,camera_test_100076,swallow8b,swallow70b,train
1628,この採用方法、凄いのに0円。,この採用方法【凄いのに0円】,驚異の採用方法、無料で提供,3,6,1,camera_test_100081,human,calm22b,train
1629,この採用方法、凄いのに0円。,この採用方法、凄いのに無料。,驚異の採用方法、無料で提供,1,8,1,camera_test_100081,swallow70b,calm22b,train
1630,この採用方法、凄いのに0円。,この採用方法、凄いのに無料。,この採用方法【凄いのに0円】,4,6,0,camera_test_100081,swallow70b,human,train
1631,初期コスト無料で求人掲載,初期費用0円。求人掲載,【初期費用無料】求人掲載,2,7,1,camera_test_100085,calm7b,calm22b,train
1632,初期コスト無料で求人掲載,初期費用0円で求人掲載,【初期費用無料】求人掲載,4,6,0,camera_test_100085,swallow70b,calm22b,train
1633,初期コスト無料で求人掲載,初期費用0円で求人掲載,初期費用0円。求人掲載,3,3,4,camera_test_100085,swallow70b,calm7b,train
1634,初期コスト無料で求人掲載,無料で求人掲載を始める,【初期費用無料】求人掲載,3,7,0,camera_test_100085,swallow8b,calm22b,train
1635,初期コスト無料で求人掲載,無料で求人掲載を始める,初期費用0円。求人掲載,4,5,1,camera_test_100085,swallow8b,calm7b,train
1636,初期コスト無料で求人掲載,無料で求人掲載を始める,初期費用0円で求人掲載,1,8,1,camera_test_100085,swallow8b,swallow70b,train
1637,今すぐ求人掲載したい方へ,今すぐ求人を掲載したい方へ,今すぐ求人掲載【求人掲載なら】,4,4,2,camera_test_100086,swallow70b,calm7b,train
1638,プロの採用代行(RPO)サービス,採用代行(RPO)サービス,プロの採用代行サービス【RPO】,2,8,0,camera_test_100087,human,calm22b,train
1639,プロの採用代行(RPO)サービス,プロの採用代行サービス,プロの採用代行サービス【RPO】,0,7,3,camera_test_100087,swallow70b,calm22b,train
1640,プロの採用代行(RPO)サービス,プロの採用代行サービス,採用代行(RPO)サービス,6,1,3,camera_test_100087,swallow70b,human,train
1641,プロの採用代行(RPO)サービス,プロの採用代行サービス(RPO),プロの採用代行サービス【RPO】,0,6,4,camera_test_100087,swallow8b,calm22b,train
1642,プロの採用代行(RPO)サービス,プロの採用代行サービス(RPO),採用代行(RPO)サービス,6,2,2,camera_test_100087,swallow8b,human,train
1643,プロの採用代行(RPO)サービス,プロの採用代行サービス(RPO),プロの採用代行サービス,6,2,2,camera_test_100087,swallow8b,swallow70b,train
1644,大手7求人媒体へ一括掲載,求人掲載【大手7媒体】一括掲載,「大手7媒体」にサクッと掲載,7,2,1,camera_test_100088,calm7b,calm22b,train
1645,大手7求人媒体へ一括掲載,一括掲載大手7求人媒体,「大手7媒体」にサクッと掲載,4,4,2,camera_test_100088,human,calm22b,train
1646,大手7求人媒体へ一括掲載,一括掲載大手7求人媒体,求人掲載【大手7媒体】一括掲載,1,7,2,camera_test_100088,human,calm7b,train
1647,大手7求人媒体へ一括掲載,大手7媒体に一括で求人掲載,「大手7媒体」にサクッと掲載,3,5,2,camera_test_100088,swallow70b,calm22b,train
1648,大手7求人媒体へ一括掲載,大手7媒体に一括で求人掲載,求人掲載【大手7媒体】一括掲載,2,5,3,camera_test_100088,swallow70b,calm7b,train
1649,大手7求人媒体へ一括掲載,大手7媒体に一括で求人掲載,一括掲載大手7求人媒体,5,2,3,camera_test_100088,swallow70b,human,train
1650,【23卒】新卒が5社使ってみた,【23卒】新卒が使ってみた5社,新卒が使ってみた５社【23卒】,5,2,3,camera_test_100096,swallow70b,human,train
1651,【福岡 転職】ビズリーチ,福岡　転職サイト「ビズリーチ」,福岡で転職するならビズリーチ,4,3,3,camera_test_100119,human,calm22b,valid
1652,【福岡 転職】ビズリーチ,福岡で転職するならビズリーチ,福岡　転職サイト「ビズリーチ」,3,7,0,camera_test_100119,swallow8b,human,valid
1653,福岡特化、だから年収1000万,福岡特化だから年収1000万,福岡に特化【年収1000万】,2,6,2,camera_test_100120,swallow70b,calm22b,train
1654,人材を直接探せる求人サイト,直接人材を探せる求人サイト,求人サイトで、人材を直接探す,5,4,1,camera_test_100121,swallow8b,human,train
1655,挑戦したいエンジニアをサポート,エンジニアを目指す人をサポート,エンジニア挑戦をサポート,5,3,2,camera_test_100134,swallow70b,calm22b,train
1656,挑戦したいエンジニアをサポート,エンジニアをサポートします,エンジニア挑戦をサポート,2,8,0,camera_test_100134,swallow8b,calm22b,train
1657,挑戦したいエンジニアをサポート,エンジニアをサポートします,エンジニアを目指す人をサポート,0,9,1,camera_test_100134,swallow8b,swallow70b,train
1658,エンジニア向けフリーランス案件,フリーランスエンジニア向け案件,エンジニアフリーランス案件,7,1,2,camera_test_100138,calm7b,calm22b,train
1659,エンジニア向けフリーランス案件,エンジニアのフリーランス案件,エンジニアフリーランス案件,4,1,5,camera_test_100138,swallow70b,calm22b,train
1660,エンジニア向けフリーランス案件,エンジニアのフリーランス案件,フリーランスエンジニア向け案件,4,6,0,camera_test_100138,swallow70b,calm7b,train
1661,【法人向け】IT人材確保なら,法人向けの【IT人材確保】なら,IT人材確保【法人向け】,4,5,1,camera_test_100139,swallow8b,swallow70b,train
1662,エンジニア専門の転職サイト,エンジニアのための転職サイト,エンジニア専門の転職サイト。,3,4,3,camera_test_100140,swallow8b,calm22b,train
1663,システム開発のエンジニア求人,エンジニア求人【システム開発】,システム開発エンジニア募集,8,2,0,camera_test_100141,swallow8b,calm22b,train
1664,経理特化の転職エージェント,経理に特化した転職エージェント,経理専門のエージェント,4,4,2,camera_test_100147,swallow70b,calm22b,train
1665,経理特化の転職エージェント,経理の転職をサポート,経理専門のエージェント,6,2,2,camera_test_100147,swallow8b,calm22b,train
1666,経理特化の転職エージェント,経理の転職をサポート,経理に特化した転職エージェント,2,7,1,camera_test_100147,swallow8b,swallow70b,train
1667,【公式】ユウクリ,ユウクリ【公式】,ユウクリ（公式）,7,0,3,camera_test_100156,swallow70b,calm22b,test
1668,【公式】ユウクリ,ユウクリ【公式】,ユウクリ（公式）,5,0,5,camera_test_100156,swallow8b,calm22b,test
1669,《公式》ヒツジのいらない枕,【枕】ヒツジのいらない公式,《公式》ヒツジ不要の快眠枕登場,0,9,1,camera_test_100166,human,calm22b,train
1670,《公式》ヒツジのいらない枕,ヒツジのいらない枕《公式》,《公式》ヒツジ不要の快眠枕登場,1,9,0,camera_test_100166,swallow8b,calm22b,train
1671,《公式》ヒツジのいらない枕,ヒツジのいらない枕《公式》,【枕】ヒツジのいらない公式,7,2,1,camera_test_100166,swallow8b,human,train
1672,贅沢ケア美容液が初回半額,贅沢ケア美容液が初回半額で登場,贅沢ケア美容液がなんと初回半額,3,5,2,camera_test_100171,swallow70b,human,train
1673,贅沢ケア美容液が初回半額,初回限定半額：贅沢ケア美容液,贅沢ケア美容液がなんと初回半額,4,6,0,camera_test_100171,swallow8b,human,train
1674,贅沢ケア美容液が初回半額,初回限定半額：贅沢ケア美容液,贅沢ケア美容液が初回半額で登場,7,1,2,camera_test_100171,swallow8b,swallow70b,train
1675,乾燥を防ぎ、肌にハリとツヤを,肌にハリとツヤを与える乾燥防止,乾燥防止【ハリツヤ肌】,6,3,1,camera_test_100172,swallow8b,calm22b,train
1676,増殖抑制率100％のダニシート,ダニシートで増殖を「即」抑制,ダニ増殖を完全に阻止するシート,2,7,1,camera_test_100175,swallow8b,swallow70b,train
1677,【通販生活限定】薄焼いわし,通販生活限定【薄焼きイワシ】,【通販生活限定】ウスヤキイワシ,7,3,0,camera_test_100182,swallow70b,calm22b,train
1678,【通販生活限定】薄焼いわし,通販生活限定薄焼いわし,【通販生活限定】ウスヤキイワシ,5,5,0,camera_test_100182,swallow8b,calm22b,train
1679,【通販生活限定】薄焼いわし,通販生活限定薄焼いわし,通販生活限定【薄焼きイワシ】,0,7,3,camera_test_100182,swallow8b,swallow70b,train
1680,KRIFF MAYER 公式通販,公式通販KRIFF MAYER,KRIFF MAYERの通販公式,5,1,4,camera_test_100184,calm7b,calm22b,train
1681,毎日更新 バーゲンセール,毎日更新。セール情報,毎日更新バーゲンセール,2,5,3,camera_test_100185,calm7b,calm22b,train
1682,毎日更新 バーゲンセール,バーゲンセール 毎日更新,毎日更新バーゲンセール,4,5,1,camera_test_100185,swallow70b,calm22b,train
1683,毎日更新 バーゲンセール,バーゲンセール 毎日更新,毎日更新。セール情報,7,3,0,camera_test_100185,swallow70b,calm7b,train
1684,毎日更新 バーゲンセール,毎日更新のバーゲンセール情報,毎日更新バーゲンセール,8,1,1,camera_test_100185,swallow8b,calm22b,train
1685,毎日更新 バーゲンセール,毎日更新のバーゲンセール情報,毎日更新。セール情報,4,3,3,camera_test_100185,swallow8b,calm7b,train
1686,毎日更新 バーゲンセール,毎日更新のバーゲンセール情報,バーゲンセール 毎日更新,4,4,2,camera_test_100185,swallow8b,swallow70b,train
1687,【ラコステ】公式通販サイト,公式【ラコステ】通販サイト,らこすて【公式通販サイト】,6,3,1,camera_test_100191,calm7b,calm22b,train
1688,【ラコステ】公式通販サイト,【公式】ラコステの通販サイト,らこすて【公式通販サイト】,8,2,0,camera_test_100191,human,calm22b,train
1689,【ラコステ】公式通販サイト,【公式】ラコステの通販サイト,公式【ラコステ】通販サイト,6,1,3,camera_test_100191,human,calm7b,train
1690,【ラコステ】公式通販サイト,ラコステ公式通販サイトです,らこすて【公式通販サイト】,3,6,1,camera_test_100191,swallow70b,calm22b,train
1691,【ラコステ】公式通販サイト,ラコステ公式通販サイトです,公式【ラコステ】通販サイト,1,7,2,camera_test_100191,swallow70b,calm7b,train
1692,【ラコステ】公式通販サイト,ラコステ公式通販サイトです,【公式】ラコステの通販サイト,0,8,2,camera_test_100191,swallow70b,human,train
1693,【ラコステ】公式通販サイト,公式通販サイト【ラコステ】,らこすて【公式通販サイト】,9,0,1,camera_test_100191,swallow8b,calm22b,train
1694,【ラコステ】公式通販サイト,公式通販サイト【ラコステ】,公式【ラコステ】通販サイト,5,5,0,camera_test_100191,swallow8b,calm7b,train
1695,【ラコステ】公式通販サイト,公式通販サイト【ラコステ】,【公式】ラコステの通販サイト,3,5,2,camera_test_100191,swallow8b,human,train
1696,【ラコステ】公式通販サイト,公式通販サイト【ラコステ】,ラコステ公式通販サイトです,9,0,1,camera_test_100191,swallow8b,swallow70b,train
1697,公式オンラインショップ,公式オンラインショップです。,公式オンラインストア,3,7,0,camera_test_100192,swallow70b,calm22b,train
1698,公式オンラインショップ,公式オンラインショップです。,公式オンラインストア,1,5,4,camera_test_100192,swallow70b,calm7b,train
1699,LACOSTE公式オンラインストア,ラコステ公式オンラインストア,LACOSTE 公式オンライン店舗,4,4,2,camera_test_100199,swallow70b,calm22b,train
1700,LACOSTE公式オンラインストア,ラコステ公式オンラインストア,LACOSTE 公式オンライン店舗,3,4,3,camera_test_100199,swallow8b,calm22b,train
1701,アマゾン公式サイト,アマゾン公式,公式アマゾン,7,1,2,camera_test_100206,human,calm7b,train
1702,Vivian ヴィヴィアン,ヴィヴィアンです。,ヴィヴィアンVivian,2,7,1,camera_test_100217,swallow70b,human,train
1703,ニトリ/NITORI ブランケット,ブランケットはニトリ/NITORI,ニトリのブランケット,5,4,1,camera_test_100221,human,calm22b,train
1704,【23区】公式通販,公式23区ファッション通販,23区【公式通販】,4,5,1,camera_test_100234,calm7b,calm22b,train
1705,【23区】公式通販,【23区】公式通販サイト,23区【公式通販】,7,3,0,camera_test_100234,swallow70b,calm22b,train
1706,【23区】公式通販,【23区】公式通販サイト,公式23区ファッション通販,6,4,0,camera_test_100234,swallow70b,calm7b,train
1707,【23区】公式通販,【23区】公式オンラインショップ,23区【公式通販】,6,2,2,camera_test_100234,swallow8b,calm22b,train
1708,【23区】公式通販,【23区】公式オンラインショップ,公式23区ファッション通販,7,3,0,camera_test_100234,swallow8b,calm7b,train
1709,【23区】公式通販,【23区】公式オンラインショップ,【23区】公式通販サイト,5,3,2,camera_test_100234,swallow8b,swallow70b,train
1710,BRUNO/ブルーノ,bruno/ぶるーの,BRUNO（ブルーノ）,0,8,2,camera_test_100237,human,calm22b,train
1711,家電のサブスク／CLAS公式,家電のサブスクならCLAS公式,家電のサブスク／CLAS公式サイト,0,10,0,camera_test_100238,swallow8b,swallow70b,train
1712,JILLSTUART公式通販,JILLSTUART公式通販サイト,【公式】JILLSTUART【通販】,1,8,1,camera_test_100255,swallow70b,human,train
1713,JILLSTUART公式通販,JILL STUART公式通販サイト,【公式】JILLSTUART【通販】,2,7,1,camera_test_100255,swallow8b,human,train
1714,JILLSTUART公式通販,JILL STUART公式通販サイト,JILLSTUART公式通販サイト,5,0,5,camera_test_100255,swallow8b,swallow70b,train
1715,フェイラー通販５０％OFF,フェイラー通販が50％OFFです。,フェイラー商品、50%割引中,3,6,1,camera_test_100258,swallow8b,calm22b,train
1716,【公式】ポール＆ジョー,公式認定のポール＆ジョー,公式ポール＆ジョー,7,2,1,camera_test_100264,swallow8b,swallow70b,train
1717,Michael Kors 公式通販,公式通販【Michael Kors】,マイケルコース 公式通販,7,2,1,camera_test_100265,swallow8b,calm7b,train
1718,MISCH MASCH公式通販,公式通販サイト：MISCH MASCH,MISCH MASCHの公式通販サイト,4,5,1,camera_test_100268,swallow8b,swallow70b,train
1719,Converse公式通販,Converse公式通販サイト,Converseの公式サイトでお買い物,6,2,2,camera_test_100277,swallow70b,calm22b,train
1720,Converse公式通販,Converse公式オンラインストア,Converseの公式サイトでお買い物,7,2,1,camera_test_100277,swallow8b,calm22b,train
1721,Converse公式通販,Converse公式オンラインストア,Converse公式通販サイト,6,2,2,camera_test_100277,swallow8b,swallow70b,train
1722,コンバース【公式】通販,コンバースの公式通販,公式コンバースの通販,4,4,2,camera_test_100278,human,calm22b,train
1723,コンバース【公式】通販,公式通販のコンバースです。,公式コンバースの通販,2,7,1,camera_test_100278,swallow70b,calm22b,train
1724,コンバース【公式】通販,公式通販のコンバースです。,コンバースの公式通販,1,5,4,camera_test_100278,swallow70b,human,train
1725,コンバース【公式】通販,コンバース【公式】通販サイト,公式コンバースの通販,7,3,0,camera_test_100278,swallow8b,calm22b,train
1726,コンバース【公式】通販,コンバース【公式】通販サイト,コンバースの公式通販,8,1,1,camera_test_100278,swallow8b,human,train
1727,コンバース【公式】通販,コンバース【公式】通販サイト,公式通販のコンバースです。,5,3,2,camera_test_100278,swallow8b,swallow70b,train
1728,MARKEY'S 公式通販,マーキーズの公式通販,MARKEY'S 公式通販サイト,3,4,3,camera_test_100282,swallow8b,swallow70b,train
1729,40代.50代の方向けの自動車保険,40代・50代向けの自動車保険,40代・50代の自動車保険,3,4,3,camera_test_100300,swallow8b,swallow70b,train
1730,【公式】アクサダイレクト,公式アクサダイレクト,アクサダイレクト【公式】,3,6,1,camera_test_100302,swallow70b,calm22b,train
1731,【公式】アクサダイレクト,公式アクサダイレクト,アクサダイレクト【公式】,2,6,2,camera_test_100302,swallow8b,calm22b,train
1732,【2022年】自動車保険ランキング,2022年おすすめの自動車保険TOP5,2022年、自動車保険の頂点,8,0,2,camera_test_100303,calm7b,calm22b,train
1733,【2022年】自動車保険ランキング,2022年版 自動車保険ランキング,2022年、自動車保険の頂点,9,1,0,camera_test_100303,swallow70b,calm22b,train
1734,【2022年】自動車保険ランキング,2022年版 自動車保険ランキング,2022年おすすめの自動車保険TOP5,3,6,1,camera_test_100303,swallow70b,calm7b,train
1735,【2022年】自動車保険ランキング,2022年版自動車保険ランキング,2022年、自動車保険の頂点,6,2,2,camera_test_100303,swallow8b,calm22b,train
1736,【2022年】自動車保険ランキング,2022年版自動車保険ランキング,2022年おすすめの自動車保険TOP5,2,6,2,camera_test_100303,swallow8b,calm7b,train
1737,【2022年】自動車保険ランキング,2022年版自動車保険ランキング,2022年版 自動車保険ランキング,0,3,7,camera_test_100303,swallow8b,swallow70b,train
1738,【損保ジャパン】1日自動車保険,損保ジャパン【1日自動車保険】,1日自動車保険【損保ジャパン】,8,2,0,camera_test_100304,swallow70b,calm22b,train
1739,利用者の本音をチェック,利用者の本音確認,口コミでわかる、利用者の真の声,1,6,3,camera_test_100320,human,calm7b,train
1740,【2022年】生命保険ランキング,2022年版生命保険ランキング,2022年生命保険ランキング,1,1,8,camera_test_100327,swallow8b,swallow70b,train
1741,ネットで申込める生命保険,生命保険をネットで申込める,生命保険をネットで申込む,3,4,3,camera_test_100330,swallow8b,swallow70b,train
1742,【リクルート公式】FP相談,FP相談ならリクルート公式です。,FP相談なら【リクルート公式】,0,8,2,camera_test_100333,swallow70b,calm22b,train
1743,SBIグループのバイク盗難保険,バイク盗難保険／SBIグループ,バイク盗難保険 | SBIグループ,3,0,7,camera_test_100343,swallow70b,calm22b,train
1744,SBIグループのバイク盗難保険,バイク盗難保険＠SBIグループ,バイク盗難保険 | SBIグループ,3,3,4,camera_test_100343,swallow8b,calm22b,train
1745,SBIグループのバイク盗難保険,バイク盗難保険＠SBIグループ,バイク盗難保険／SBIグループ,2,2,6,camera_test_100343,swallow8b,swallow70b,train
1746,Webでも申込める,Web申込も可能,Web申込可,5,3,2,camera_test_100344,swallow70b,calm22b,train
1747,保険料が低い順に比較ができる,保険料が安い順に比較【保険】,保険料比較：低順表示,9,1,0,camera_test_100351,calm7b,calm22b,train
1748,保険料が低い順に比較ができる,保険料が安い順に比較できる,保険料比較：低順表示,8,0,2,camera_test_100351,swallow70b,calm22b,train
1749,保険料が低い順に比較ができる,保険料が安い順に比較できる,保険料が安い順に比較【保険】,4,5,1,camera_test_100351,swallow70b,calm7b,train
1750,保険料が低い順に比較ができる,保険料を低い順に比較できます,保険料比較：低順表示,7,3,0,camera_test_100351,swallow8b,calm22b,train
1751,保険料が低い順に比較ができる,保険料を低い順に比較できます,保険料が安い順に比較【保険】,5,5,0,camera_test_100351,swallow8b,calm7b,train
1752,保険料が低い順に比較ができる,保険料を低い順に比較できます,保険料が安い順に比較できる,3,5,2,camera_test_100351,swallow8b,swallow70b,train
1753,入院 生命保険なら,【生命保険】入院保障,入院中の生命保険なら,8,2,0,camera_test_100352,human,calm22b,train
1754,入院 生命保険なら,生命保険で入院に備えるなら,入院中の生命保険なら,7,2,1,camera_test_100352,swallow70b,calm22b,train
1755,入院 生命保険なら,生命保険で入院に備えるなら,【生命保険】入院保障,6,3,1,camera_test_100352,swallow70b,human,train
1756,【2022年生命保険ランキング】,【2022年】生命保険ランキング,2022年最新の生命保険ランキング,8,2,0,camera_test_100353,swallow70b,calm22b,train
1757,葬式代に備える死亡保険,死亡保険で葬式代を備える,死亡保険で葬式代に備える,0,0,10,camera_test_100360,calm7b,calm22b,train
1758,葬式代に備える死亡保険,死亡保険で葬式代に備える,死亡保険で葬式代を備える,0,1,9,camera_test_100360,swallow70b,calm7b,train
1759,葬式代に備える死亡保険,葬式費用に備える死亡保険,死亡保険で葬式代に備える,4,2,4,camera_test_100360,swallow8b,calm22b,train
1760,葬式代に備える死亡保険,葬式費用に備える死亡保険,死亡保険で葬式代を備える,5,4,1,camera_test_100360,swallow8b,calm7b,train
1761,葬式代に備える死亡保険,葬式費用に備える死亡保険,死亡保険で葬式代に備える,7,2,1,camera_test_100360,swallow8b,swallow70b,train
1762,【生命保険】アクサダイレクト,アクサダイレクト生命保険,アクサダイレクトの生命保険,2,6,2,camera_test_100361,swallow70b,calm22b,train
1763,【生命保険】アクサダイレクト,アクサダイレクトの生命保険,アクサダイレクト生命保険,3,1,6,camera_test_100361,swallow8b,swallow70b,train
1764,【新発売】太陽生命の死亡保険,新発売の死亡保険は太陽生命で,新発売の太陽生命の死亡保険,0,8,2,camera_test_100365,swallow8b,calm22b,test
1765,【ファインセーブ】公式サイト,【公式】ファインセーブサイト,公式サイト【ファインセーブ】,7,2,1,camera_test_100368,swallow70b,calm22b,train
1766,【ファインセーブ】公式サイト,【公式】ファインセーブサイト,公式サイト【ファインセーブ】,4,5,1,camera_test_100368,swallow8b,calm22b,train
1767,TOP３の保険会社を一括比較,【保険会社】TOP3を一括比較,トップ3の保険を比較,9,1,0,camera_test_100369,swallow70b,calm22b,train
1768,【公式】神奈川県民共済,神奈川県民共済【公式】,県民共済（公式）,9,0,1,camera_test_100374,swallow70b,calm7b,train
1769,【公式】神奈川県民共済,神奈川県民共済【公式】,県民共済（公式）,9,0,1,camera_test_100374,swallow8b,calm7b,train
1770,がんでも申し込める死亡保険,がんでも加入できる死亡保険,がんでも安心【死亡保険】,3,6,1,camera_test_100376,swallow70b,calm22b,train
1771,無料カンタンお見積りはこちら,無料カンタンお見積り,簡単見積もり【無料】,2,7,1,camera_test_100380,human,calm7b,train
1772,無料カンタンお見積りはこちら,無料でかんたんお見積りはこちら,簡単見積もり【無料】,4,4,2,camera_test_100380,swallow8b,calm7b,train
1773,無料カンタンお見積りはこちら,無料でかんたんお見積りはこちら,無料カンタンお見積り,6,4,0,camera_test_100380,swallow8b,human,train
1774,【ライフネット生命】死亡保険,ライフネット生命の死亡保険,死亡保険【ライフネット生命】,3,5,2,camera_test_100384,swallow70b,calm22b,train
1775,【ライフネット生命】死亡保険,ライフネット生命の死亡保険,死亡保険【ライフネット生命】,2,6,2,camera_test_100384,swallow8b,calm22b,train
1776,死亡保障はオリックス生命,オリックス生命で死亡保障,オリックス生命の死亡保障,0,3,7,camera_test_100385,swallow70b,calm22b,train
1777,死亡保障はオリックス生命,オリックス生命の死亡保障,オリックス生命で死亡保障,6,0,4,camera_test_100385,swallow8b,swallow70b,train
1778,脳卒中に備える保険,「脳卒中」に備える保険,脳卒中から守る安心の保険,4,6,0,camera_test_100391,swallow70b,calm22b,train
1779,脳卒中に備える保険,脳卒中に備える究極の保険,脳卒中から守る安心の保険,4,3,3,camera_test_100391,swallow8b,calm22b,train
1780,脳卒中に備える保険,脳卒中に備える究極の保険,「脳卒中」に備える保険,2,8,0,camera_test_100391,swallow8b,swallow70b,train
1781,【公式】アフラックの医療保険,アフラック【公式】医療保険,公式アフラックの医療保険,10,0,0,camera_test_100395,swallow8b,swallow70b,train
1782,がんを一時金で手厚く保障,【一時金】でがんを手厚く保障,ガンを一時金で手厚く保障,5,4,1,camera_test_100397,swallow70b,calm22b,train
1783,≪公式サイト≫都民共済,都民共済【公式サイト】,都民共済の公式サイト,9,0,1,camera_test_100398,swallow70b,calm22b,train
